Suburb,Rooms,Type,Price,Bedroom2,Bathroom,Car,BuildingArea,YearBuilt
Abbotsford,2,h,1480000,2,1,1,,
Abbotsford,2,h,1035000,2,1,0,79,1900
Abbotsford,3,h,1465000,3,2,0,150,1900
Abbotsford,3,h,850000,3,2,1,,
Abbotsford,4,h,1600000,3,1,2,142,2014
Abbotsford,2,h,941000,2,1,0,,
Abbotsford,3,h,1876000,4,2,0,210,1910
Abbotsford,2,h,1636000,2,1,2,107,1890
Abbotsford,1,u,300000,1,1,1,,
Abbotsford,2,h,1097000,3,1,2,75,1900
Abbotsford,2,u,700000,2,2,1,,
Abbotsford,3,h,1350000,3,2,2,190,2005
Abbotsford,2,u,750000,2,2,1,94,2009
Abbotsford,2,h,1172500,2,1,1,,
Abbotsford,1,u,441000,1,1,1,,
Abbotsford,2,h,1310000,2,1,2,97,1890
Abbotsford,3,h,1200000,3,2,1,110,1880
Abbotsford,3,h,1176500,2,1,1,105,1890
Abbotsford,3,h,955000,3,1,0,,
Abbotsford,2,h,890000,2,1,1,73,1985
Abbotsford,4,h,1330000,4,2,2,135,1900
Abbotsford,3,t,900000,3,2,2,,2010
Abbotsford,3,u,1090000,3,2,2,27,
Abbotsford,2,u,500000,2,1,1,60,1970
Abbotsford,2,h,1100000,2,2,1,135,2013
Abbotsford,2,h,1315000,2,1,0,85,1900
Abbotsford,1,u,426000,1,1,1,,
Abbotsford,3,h,1447500,3,3,1,174,2012
Abbotsford,1,u,457000,1,1,1,50,
Abbotsford,2,h,1135000,2,2,2,128,1920
Abbotsford,4,h,1542000,4,3,1,,
Abbotsford,3,h,1290000,3,2,2,18,
Abbotsford,3,h,1290000,3,1,1,124,1950
Abbotsford,1,u,470000,1,1,1,50,2013
Abbotsford,2,h,1180000,2,1,0,91,1900
Abbotsford,3,h,1195000,3,2,1,128,1998
Abbotsford,2,h,1012500,2,1,0,82,1900
Abbotsford,2,h,1030000,2,1,1,81,1930
Airport West,3,t,840000,3,2,1,225,2016
Airport West,3,h,730000,3,2,1,145,1965
Airport West,3,h,770000,3,2,1,145,1965
Airport West,2,h,603000,2,1,1,84,1950
Airport West,3,t,700000,3,2,2,134,2009
Airport West,3,h,600000,2,1,1,116,1980
Airport West,2,u,500000,2,1,1,86,2011
Airport West,3,h,720000,2,1,1,,
Airport West,4,h,785000,3,1,2,127,
Airport West,6,h,725000,6,3,2,186,1980
Airport West,2,t,450000,2,1,1,90,2015
Airport West,2,u,515000,2,1,1,73,2013
Airport West,2,u,530000,2,1,1,94,2012
Airport West,3,h,895000,3,1,6,133,1975
Airport West,3,h,805000,3,1,1,105,1950
Airport West,3,u,752000,3,1,1,130,1993
Airport West,2,u,440000,2,1,1,,
Airport West,5,h,755000,3,2,2,,
Airport West,3,t,700000,3,2,2,133,2009
Airport West,3,h,830000,3,1,2,113,1960
Airport West,2,u,462500,2,1,1,,2003
Airport West,3,h,670000,3,2,2,,
Airport West,2,h,675000,2,1,1,100,1975
Airport West,3,h,1042000,3,2,5,174,1950
Airport West,3,h,910000,3,1,1,,
Airport West,4,h,773000,5,3,4,309,1980
Airport West,3,h,810000,3,3,2,192,1980
Airport West,3,h,715000,3,2,2,126,1995
Airport West,3,h,790000,3,1,3,,
Airport West,3,t,540000,2,2,1,101,2010
Airport West,3,t,825000,3,2,1,102,1960
Airport West,3,h,685000,3,1,1,113,1975
Airport West,3,h,805000,3,1,1,,
Airport West,2,u,510000,2,1,1,76,
Airport West,3,h,612000,3,2,1,,
Airport West,3,h,662000,3,1,2,,
Airport West,4,h,978000,4,3,2,,
